,Authors,ISBN,ISBN-13,Language,Publisher,Title,Year
1644,Barbara Ann Kipfer,0894803700,9780894803703,en,Workman Publishing,"14,000 Things To Be Happy About: The Happy Book",1989
1645,Dick Francis,0449221164,9780449221167,en,Fawcett Books,In The Frame,1993
1646,Stephen Fried,0553801031,9780553801033,,Bantam,The new rabbi: a congregation searches for its leader,2002
1647,Patricia C. Wrede,0590457225,9780590457224,en,Scholastic Paperbacks,Dealing With Dragons,1992
1648,George Stephanopoulos,0316929190,9780316929196,,"Little, Brown",All too human: a political education,1999
1649,Rita Mae Brown,0553052845,9780553052848,,Bantam Books,Rubyfruit jungle,
1650,Louisa May Alcott,0140390693,9780140390698,,Penguin Books,Little women,1989
1651,Cornelia Caroline Funke,0439404371,9780439404372,en,Guilford Press,The Thief Lord,2002
1652,Oliver Latsch,0439404371,9780439404372,en,Guilford Press,The Thief Lord,2002
1653,Stan Lee,0939766027,9780939766024,,Marvel Books,Stan Lee presents the Marvel Comics illustrated version of fantastic four,1982
1654,Camille Paglia,0679741011,9780679741015,en,Vintage,"Sex, Art, And American Culture: Essays",1992
1655,James Kahn,0345307674,9780345307675,en,Lucasbooks,Return Of The Jedi,1983
1656,George Lucas,0345307674,9780345307675,en,Lucasbooks,Return Of The Jedi,1983
1657,Robert A. Heinlein,0425071421,9780425071427,,Berkley,Stranger in a strange land,1984
1658,Anne McCaffrey,0345297687,9780345297686,,Del Rey,The ship who sang,1981
1659,Devra Newberger Speregen,0766607119,9780766607118,,Modern Pub.,Little women,2002
1660,"McBride, James",1573225789,9781573225786,,Riverhead Books,The color of water: a Black man's tribute to his white mother,1997
1661,Louis Sachar,0380754843,9780380754847,,Avon,Wayside School is falling down,1990
1662,Anne McCaffrey,0345368940,9780345368942,,Ballantine Books,The dolphins of Pern,1994
1663,Anne McCaffrey,0345331605,9780345331601,en,Del Rey Books,Dragonsdawn,1988
1664,Eric Lustbader,0425050807,9780425050804,,,Beneath an opal moon,
1665,Robert Asprin,044100962X,9780441009626,,Ace,Myth-ion improbable,2002
1666,Anne Frank,0553296981,9780553296983,en,Bantam,Anne Frank: The Diary Of A Young Girl,1993
1667,Patañjali,1895383129,9781895383126,,Kriya Yoga Publications,Kriya yoga sūtras of Patañjali and the siddhas,2001
1668,Nomi Eve,0375724575,9780375724572,,Vintage International,The family orchard: a novel,2001
1669,Bruce Catton,067163884X,9780671638849,,Pocket,This hallowed ground,1986
1670,"Gibson, William",0553140434,9780553140439,,Bantam Books,The miracle worker; a play for television,1981
1671,Clement Eaton,0029087104,9780029087107,en,Simon and Schuster,A History Of The Southern Confederacy,1965
1672,H. G. Wells,0425050750,9780425050750,,Berkley,The war of the worlds,1981
1673,Terry Brooks,0345285549,9780345285546,,Ballantine Books,The Elfstones of Shannara,1982
1674,Terry Brooks,0345290240,9780345290243,,Del Rey,The sword of Shannara,1980
1675,Piers Anthony,0345301870,9780345301871,,Ballantine Books,"Ogre, ogre",1982
1676,Stephen King,0451169530,9780451169532,,Signet/NAL,The stand: the complete &amp;amp; uncut edition,1991
1677,Larry McMurtry,067168390X,9780671683900,en,Pocket Books,Lonesome Dove: A Novel,1988
1678,Sophie Kinsella,0385335881,9780385335881,en,Dial Press,Shopaholic Takes Manhattan,2002
1679,Sophie Kinsella,0385335482,9780385335485,en,Dial Press,Confessions Of A Shopaholic,2001
1680,John Irving,0553258001,9780553258004,en,Bantam,The Cider House Rules: A Novel,1986
1681,Joan Collins,0671679627,9780671679620,,Pocket Books,Prime time: a novel,1989
1682,Oliver W. Sacks,0375704043,9780375704048,en,Vintage,Uncle Tungsten: Memories Of A Chemical Boyhood,2002
1683,Carolyne Aarsen,0373871279,9780373871278,,Steeple Hill,A family at last,2000
1684,Annette Broadrick,0373484070,9780373484072,,Silhouette,Callaway country,2000
1685,Barbara Ehrenreich,0805063889,9780805063882,,Metropolitan Books,Nickel and dimed: on (not) getting by in America,2001
1686,Rachel Cohn,068986020X,9780689860201,,SIMON PULSE,Gingerbread,2003
1687,Carolyn Keene,0671568809,9780671568801,,Simon Pulse,Strange memories,1997
1688,Rachel Naomi Remen,1573228567,9781573228565,,Riverhead Books,"My grandfather's blessings: stories of strength, refuge, and belonging",2000
1689,Luanne Rice,0553582658,9780553582659,,Bantam Books,Summer light,2001
1690,Jayne Ann Krentz,051513399X,9780515133998,,Jove Books,Smoke in mirrors,2002
1691,Nora Roberts,0373218400,9780373218400,en,Harlequin Books,Table For Two,2002
1692,Joan Smith,0449217868,9780449217863,,Fawcett,Winter wedding,1990
1693,"Smith, Joan M.",0671573020,9780671573027,,Silhouette Books,Divining women,1984
1694,Bryn Chandler,0517006456,9780517006450,,Pageant Books,Eve's rib,1989
1695,Peter Jennings,0786867086,9780786867080,en,Hyperion,In Search Of America,2002
1696,Tod Brewster,0786867086,9780786867080,en,Hyperion,In Search Of America,2002
1697,Eliza Osborne,1569471800,9781569471807,,Soho,The distance between,2000
1698,Howard A. Norman,0374216495,9780374216498,,"Farrar, Straus & Giroux",The museum guard: a novel,1998
1699,John Griesemer,0312274572,9780312274573,en,Macmillan,No One Thinks Of Greenland,2001
1700,Marly A. Swick,0316825336,9780316825337,,"Little, Brown",The evening news: a novel,1999
1701,John L'Heureux,0871137631,9780871137630,,Atlantic Monthly Press,Having everything: a novel,1999
1702,Molly Ivins,0679419152,9780679419150,,Random House,Nothin' but good times ahead,1993
1703,Tony Hillerman,0060192895,9780060192891,,HarperCollins,Hunting badger,1999
1704,Forrest Carter,0826308791,9780826308795,en,,The Education Of Little Tree,1976
1705,Umberto Eco,0140259198,9780140259193,,Penguin,The island of the day before,1996
1706,Greg Bear,0345435249,9780345435248,en,Ballantine Books,Darwin's Radio,2000
1707,Terry Pratchett,0441003257,9780441003259,,Ace,"Good omens: the nice and accurate prophecies of Agnes Nutter, witch",1996
1708,Neil Gaiman,0441003257,9780441003259,,Ace,"Good omens: the nice and accurate prophecies of Agnes Nutter, witch",1996
1709,Arundhati Roy,8850200005,9788850200009,,Distribooks Inc,The god of small things,2002
1710,Sharyn McCrumb,0451202503,9780451202505,,Signet,The songcatcher: a ballad novel,2002
1711,Nicholas Sparks,0446606812,9780446606813,,Warner Bros.,Message in a bottle,1998
1712,Kathy Reichs,0671028375,9780671028374,en,Simon and Schuster,Fatal Voyage,2002
1713,Jeffrey Deaver,0451181468,9780451181466,,Signet,Praying for sleep,1994
1714,Nevada Barr,0399149759,9780399149757,,Putnam,Flashback,2003
1715,Martin Cruz Smith,0345384733,9780345384737,,Ballantine Books,Red Square,1993
1716,V.C. Andrews,0671759361,9780671759360,en,Pocket Books,Pearl In The Mist,1994
1717,Stephen Hill,0830724982,9780830724987,en,Baker Publishing Group,Knockin' At Heaven's Door,1999
1718,Robin Cook,0399146008,9780399146008,en,Putnam Adult,Shock,2001
1719,E. W. Heine,3442720001,9783442720002,,Wilhelm Goldmann Verlag GmbH,Das Halsband der Taube Roman,1996
1720,Donna Fletcher,0515132632,9780515132632,,Jove Books,Isle of lies,2002
1721,Jeanne Larsen,044990671X,9780449906712,,,Bronze mirror,
1722,Bari Wood,0688124402,9780688124403,,Morrow,Doll's eyes,1993
1723,James Cozzens,0929587081,9780929587080,,"Ivan R. Dee, Publisher",Men and brethren,1989
1724,Reidar Jönsson,155970117X,9781559701174,,Arcade Pub.,"My father, his son",1991
1725,June Vendall Clark,0688105408,9780688105402,en,William Morrow & Co,Starlings Laughing: A Memoir Of Africa,1990
1726,Robert Reilly,0871130297,9780871130297,,Atlantic Monthly Press,The God of mirrors: a novel,1986
1727,Kem Nunn,0440500095,9780440500094,,Dell Publishing Co,Unassigned territory,1988
1728,Larry King,1570362084,9781570362088,,Turner Pub.,The best of Larry King live: the greatest interviews,1995
1729,Barbara Kingsolver,0060930535,9780060930530,,HarperPerennial,The poisonwood Bible: a novel,1999
1730,Ernest J. Gaines,0375702709,9780375702709,,Vintage Books,A lesson before dying,1993
1731,Anne Lamott,044990928X,9780449909287,,Fawcett Columbine,Operating instructions: a journal of my son's first year,1994
1732,Bret Lott,0671038184,9780671038182,,Washington Square Press,Jewel: a novel,1991
1733,Zora Neale Hurston,0060916508,9780060916503,,Perennial Library,Their eyes were watching God: a novel,1990
1734,Jude Fisher,0756401453,9780756401450,,DAW Books,Wild magic,2003
1735,Salman Rushdie,0963270702,9780963270702,,Consortium,The satanic verses,1992
1736,G. P. Taylor,0399242562,9780399242564,,Putnam Juvenile,Shadowmancer,2004
1737,Bill Bryson,0552996009,9780552996006,,,Notes from a small island,
1738,Anne McCaffrey,0708881297,9780708881293,,Futura,Dinosaur planet,1984
1739,John Steinbeck,0142000663,9780142000663,en,Penguin Group USA,The Grapes Of Wrath,1939
1740,Philip Pullman,0590542443,9780590542449,en,,The Subtle Knife,2000
1741,Philip Pullman,0590112899,9780590112895,en,,The Subtle Knife,1998
1742,Philip Pullman,0590660543,9780590660549,,Scholastic Point,Northern Lights (His Dark Materials),1998
1743,John Irving,0345361792,9780345361790,,Ballantine Books,A prayer for Owen Meany: a novel,1990
1744,Judy Astley,0552999512,9780552999519,,Transworld,Away from it all,2003
1745,Roger E. Allen,041619513X,9780416195132,,Methuen,Winnie-the-Pooh on management and problem solving,1998
1746,Margaret Tempest,0855030224,9780855030223,,Medici Society,An ABC for you and me,1948
1747,Enid Blyton,0861638522,9780861638529,,Award Publications Ltd,The brave toy soldier and other stories,1996
1748,James Barclay,0575073314,9780575073319,,Gollancz,Shadowheart,2003
1749,James Barclay,0575073004,9780575073005,en,,Nightchild: Chronicles Of The Raven,2002
1750,Kahlil Gibran,0394404289,9780394404288,,Knopf,The prophet,1992
1751,Libby Purves,000636988X,9780006369882,en,,How Not To Be A Perfect Mother: The Crafty Mother's Guide To A Quiet Life,1986
1752,Jane Kirkpatrick,1578562333,9781578562336,,WaterBrook Press,"No eye can see: a novel of kinship, courage, and faith",2001
1753,Tess Gerritsen,0345458915,9780345458919,en,Random House LLC,The Sinner,2003
1754,Olive Ann Burns,038531258X,9780385312585,en,Delta,Cold Sassy Tree,1984
1755,"Smith, Betty",006092988X,9780060929886,,Perennial Classics,"A tree grows in Brooklyn, a novel",1998
1756,Michael Ende,0140317937,9780140317930,en,Putnam Juvenile,The Neverending Story,1985
1757,Ralph Manheim,0140317937,9780140317930,en,Putnam Juvenile,The Neverending Story,1985
1758,Annie Proulx,0743225406,9780743225403,,Scribner,The shipping news,2001
1759,Corrie ten Boom,0553256696,9780553256697,,Bantam Books,The hiding place,1974
1760,Bodie Thoene,0785263780,9780785263784,,Thomas Nelson,Only the river runs free: a novel,2003
1761,Marlo M. Schalesky,0802433243,9780802433244,,Moody Publishers,Only the wind remembers,2003
1762,Mark Salzman,0375413081,9780375413087,en,Alfred A. Knopf,True Notebooks,2003
1763,Alexander McCall Smith,1400034779,9781400034772,en,Anchor,The No. 1 Ladies' Detective Agency,1998
1764,Michael Paterniti,038533303X,9780385333030,,Delta,Driving Mr. Albert: a trip across America with Einstein's brain,2001
1765,John Fowles,0451163753,9780451163752,,Signet,The French lieutenant's woman,1969
1766,Dorothy Reynolds Miller,0440414520,9780440414520,,Bantam Doubleday Books for Young Readers,The clearing: a mystery,1998
1767,Steve Martin,0786885688,9780786885688,en,Hyperion,Shopgirl,2001
1768,Yoshimoto Banana,0671880187,9780671880187,,Washington Square Press,Kitchen,1993
1769,Ann Rae Jonas,1558506454,9781558506459,,Adams Media Corp.,Museum of science book of answers &amp;amp; questions,1996
1770,Reader's Digest,0895773538,9780895773531,,Reader's Digest Association,How in the world?,1990
1771,Reader's Digest Association,0895773538,9780895773531,,Reader's Digest Association,How in the world?,1990
1772,Joseph Campbell,0385247745,9780385247740,en,Harmony,The Power Of Myth,1988
1773,Bill D. Moyers,0385247745,9780385247740,en,Harmony,The Power Of Myth,1988
1774,"Plain, Belva.",0385293542,9780385293549,,Delacorte Press,Crescent City: a novel,1984
1775,Dyanne Gibson,0802069347,9780802069344,,University of Toronto Press,Gibson's Student guide to western Canadian universities,1993
1776,,0671721038,9780671721039,,Baen Books,The New Hugo winners,1991
1777,Bruce Coville,0671311891,9780671311896,,Pocket Books,My teacher is an alien,1997
1778,Terry Brooks,0345387007,9780345387004,,Del Rey,The tangle box: a magic kingdom of Landover novel,1995
1779,Edwidge Danticat,037570504X,9780375705045,en,Vintage,"Breath, Eyes, Memory",1998
1780,Bill Bryson,0767902521,9780767902526,,Broadway Books,A walk in the woods: rediscovering America on the Appalachian Trail,1999
1781,Joe R. Lansdale,0892967048,9780892967049,,Mysterious Press,The bottoms,2000
1782,Arturo Pérez-Reverte,0553377868,9780553377866,,Bantam,The Flanders panel,1996
1783,Sheila O'Connor,0472113658,9780472113651,,University of Michigan Press,Where no gods came,2003
1784,Erik Larson,0609608444,9780609608449,,Crown Publishers,"The devil in the white city: murder, magic, and madness at the fair that changed America",2003
1785,Saul Bellow,0670032425,9780670032426,,Viking,The adventures of Augie March: a novel,2003
1786,Dan Millman,0915811332,9780915811335,,H.J. Kramer,Sacred journey of the peaceful warrior,1991
1787,Jack Canfield,1558744606,9781558744608,,Health Communications,"Chicken soup for the teenage soul: 101 stories of life, love, and learning",1997
1788,Jack Canfield,1558744606,9781558744608,,Health Communications,"Chicken soup for the teenage soul: 101 stories of life, love, and learning",1997
1789,Mark Victor Hansen,1558744606,9781558744608,,Health Communications,"Chicken soup for the teenage soul: 101 stories of life, love, and learning",1997
1790,Kimberly Kirberger,1558744606,9781558744608,,Health Communications,"Chicken soup for the teenage soul: 101 stories of life, love, and learning",1997
1791,Amy Tan,080410753X,9780804107532,,Ivy Books,The Joy Luck Club,1992
1792,Mark Twain,0451526503,9780451526502,,Signet Classics,"Adventures of Huckleberry Finn: an authoritative text, backgrounds and sources, criticism",1997
1793,J. R. John Ronald Reuel Tolkien,0345325818,9780345325815,en,Random House LLC,The Silmarillion,1979
1794,Ned Vizzini,044023767X,9780440237679,,Laurel Leaf,Teen angst? Naaah--: a quasi-autobiography,2002
1795,Laurie Halse Anderson,014131088X,9780141310886,,Penguin Group,Speak,2003
1796,Chris Wooding,043909013X,9780439090131,,Scholastic,Kerosene,2002
1797,Mary McGarry Morris,0140244824,9780140244823,en,Penguin Group,Songs In Ordinary Time,1995
1798,Brian O'Leary,155643068X,9781556430688,,North Atlantic Books,Exploring inner and outer space: a scientist's perspective on personal and planetary transformation,1989
1799,Brian O'Leary,096478260X,9780964782600,,Kamapua'a Press,"Miracle in the void: free energy, UFOs and other scientific revelations",1996
1800,Brian O'Leary,155643152X,9781556431524,,North Atlantic Books,The second coming of science: an intimate report on the new science,1992
1801,F. David Peat,0553346768,9780553346763,en,Bantam,Synchronicity: The Bridge Between Matter And Mind,1987
1802,L. Ron Hubbard,0884043142,9780884043140,,Bridge Publications (CA),L. Ron Hubbard presents writers of the future,1988
1803,Jeffery Deaver,0743221990,9780743221993,en,,The Stone Monkey: A Lincoln Rhyme Novel,2002
1804,Stephen Coonts,0312983212,9780312983215,,St. Martin's Paperbacks,Saucer: an adventure,2003
1805,John Whitman,0553486411,9780553486414,en,Skylark,Clones,1998
1806,Peter Kummer,3478088534,9783478088534,,Moderne Verlagsges. Mvg,Jetzt will ichs wirklich wissen. Mit mentaler Powertechnik Ziele erreichen,2002
1807,Sven Regener,3821807059,9783821807058,de,,Berlin blues,2001
1808,Wendy Leigh,0865532168,9780865532168,en,,Arnold: An Unauthorized Biography,1990
1809,Dorothy Sterling,059040640X,9780590406406,,Scholastic Book Services,Freedom train; the story of Harriet Tubman,1987
1810,Frances Hodgson Burnett,1566197155,9781566197151,,,A little princess,
1811,University of Virginia.,1566197155,9781566197151,,,A little princess,
1812,Margery Gill,1566197155,9781566197151,,,A little princess,
1813,Scott McKowen,1566197155,9781566197151,,,A little princess,
1814,U. C. Knoepflmacher,1566197155,9781566197151,,,A little princess,
1815,Reginald B. Birch,1566197155,9781566197151,,,A little princess,
1816,B. K. S. Iyengar,0805210318,9780805210316,,Schocken,Light on yoga: yoga dipika,1995
1817,Kate Atkinson,031227999X,9780312279998,en,Macmillan,Emotionally Weird: A Novel,2001
1818,John Grisham,0385508417,9780385508414,en,Doubleday Books,Skipping Christmas,2001
1819,John Grisham,0385510438,9780385510431,,Doubleday,The last juror,2004
1820,Susan M. McIntosh,0848705459,9780848705459,,Oxmoor House,Cooking light,1983
1821,Nevada Barr,0380723638,9780380723638,,Avon,Ill wind,1996
1822,Paul Gross,0718001044,9780718001049,,Thomas Nelson,Nelson's bedtime bible stories: 150 passages from the international children's bible,2002
1823,Diane Muldrow,0307132668,9780307132666,en,,"Bye, Bye, Butterfree",1995
1824,Robert Bloch,0812515722,9780812515725,,Tor Books,American gothic,1987
1825,Mollie Molay,0373169876,9780373169870,,Harlequin,My big fake green-card wedding,2003
1826,Grace C. Collins,0890842795,9780890842799,,Bob Jones University Press,English handbook for Christian schools,1985
1827,Judy Blume,0385324057,9780385324052,,Delacorte Press,Summer sisters: a novel,1998
1828,Ray Bradbury,9505470010,9789505470013,es,,Fahrenheit 451,2002
1829,Jonathan Rabb,0609602535,9780609602539,,Crown Publishers,The overseer: a novel,1998
1830,Clive Cussler,0425185710,9780425185711,,Berkley,Valhalla rising,2002
1831,Patrick Robinson,0061030651,9780061030659,en,HarperTorch,U.S.S. Seawolf,2001
1832,Jack Higgins,0425178773,9780425178775,,Berkley Books,Day of reckoning,2001
1833,Robert T. Bakker,0553575619,9780553575613,en,Bantam,Raptor Red,1996
1834,Fred Saberhagen,0671578391,9780671578398,en,Baen Books,The Dracula Tape,1999
1835,Richard Moran,0425095584,9780425095584,en,Berkley,Cold Sea Rising,1987
1836,Michael DiMercurio,0451409086,9780451409089,,Onyx Book,Threat vector,2000
1837,Stephen Coonts,031298250X,9780312982508,en,Macmillan,America: A Jake Grafton Novel,2002
1838,Patrik Robinson,006109594X,9780061095948,,HarperCollins,Nimitz class,1998
1839,Douglas Adams,0671527215,9780671527211,,Pocket,The hitchhiker's guide to the galaxy,1984
1840,Wilkie Collins,0486203077,9780486203072,,Dover Publications,Tales of terror and the supernatural,1972
1841,Raymond Cloutier,2894850743,9782894850749,,Lanctôt éditeur,Un retour simple: roman,1998
1842,Randall Wallace,0671522817,9780671522810,,Pocket Books,Braveheart: a novel,1995
1843,Rhoda Huffey,0618074716,9780618074716,,Houghton Mifflin,The hallelujah side,2000
1844,Calvin Trillin,1400062888,9781400062881,,Random House,Obliviously on he sails: the Bush administration in rhyme,2004
1845,Rachel Simon,0618045996,9780618045990,,Houghton Mifflin Co.,Riding the bus with my sister: a true life journey,2002
1846,Nick Earls,0312303033,9780312303037,,St. Martin's Griffin,Perfect skin,2002
1847,Carol Emshwiller,1931520038,9781931520034,en,Small Beer Press,The Mount: A Novel,2002
1848,Spider Robinson,0671318314,9780671318314,en,Baen,Callahan's Lady,2001
1849,Tom Robbins,0553377876,9780553377873,en,Bantam,Half Asleep In Frog Pajamas,1995
1850,Edith Konecky,1558612815,9781558612815,,Feminist Press,Allegra Maud Goldman,2001
1851,Jan Karon,014025448X,9780140254488,,Penguin Books,At home in Mitford,1996
1852,Ann Patchett,0060934417,9780060934415,,Perennial,Bel canto: a novel,2002
1853,Mary Higgins Clark,0671793489,9780671793487,en,Pocket Books,All Around The Town,1993
1854,William Shakespeare,0174434642,9780174434641,,Thomas Nelson and Sons,Othello,1997
1855,Jonathan Harr,0679772677,9780679772675,en,Vintage,A Civil Action,1996
1856,Jennifer Crusie,0312983824,9780312983826,,St. Martin's Paperbacks,Faking it,2003
1857,Kristin Hannah,0449149676,9780449149676,,Ballantine Books,On mystic lake,2000
1858,Kristin Hannah,0449006344,9780449006344,,Ballantine Books,Angel Falls,2001
1859,Luanne Rice,0553568183,9780553568189,,,Blue moon,
1860,Ayn Rand,0451191153,9780451191151,,Penguin Books,The fountainhead,1993
1861,"Evans, Nicholas",0440224624,9780440224624,,Dell,The loop,1999
1862,Jane Austen,0451523067,9780451523068,,,Emma,
1863,James Kinsley,0451523067,9780451523068,,,Emma,
1864,Terry Castle,0451523067,9780451523068,,,Emma,
1865,Fiona J. Stafford,0451523067,9780451523068,,,Emma,
1866,Richard Cronin,0451523067,9780451523068,,,Emma,
1867,Dorothy McMillan,0451523067,9780451523068,,,Emma,
1868,Jennifer Weiner,0743418174,9780743418171,,WSP,Good in bed: a novel,
1869,Jane Austen,0451526295,9780451526298,en,Univ. Press of Mississippi,Mansfield Park,1996
1870,Elmore Leonard,0440214424,9780440214427,,Dell,Out of sight,1997
1871,Jane Austen,0451187903,9780451187901,,Penguin Group,Sense and sensibility,1995
1872,Margaret Atwood,0385491050,9780385491051,,Anchor Books,Surfacing,1998
1873,Barbara Delinsky,0671036505,9780671036508,,Pocket Star Books,The vineyard: a novel,2001
1874,Alexandre Dumas,0553213504,9780553213508,,Bantam Books,The Count of Monte Cristo,1981
1875,Dorothy Garlock,0446605891,9780446605892,,Warner,With heart,1999
1876,Raymond Chandler,0394758285,9780394758282,,Vintage Books,The big sleep,1992
1877,Mary Higgins Clark,0671004565,9780671004569,,Pocket Books,We'll meet again,1999
1878,Whitney Otto,0345370805,9780345370808,en,"Random House Digital, Inc.",How To Make An American Quilt,1992
1879,Kaye Gibbons,0375703055,9780375703058,,Vintage Books,Ellen Foster: a novel,1990
1880,Anita Shreve,0156006529,9780156006521,,Mariner,Where or when: a novel,1999
1881,Candace Bushnell,0446673544,9780446673549,,Warner Books,Sex and the city,2001
1882,Gabriel Garcia Marquez,0140256369,9780140256369,,Penguin Books,Of love and other demons,1996
1883,Michael Cunningham,0312243022,9780312243029,en,"Farrar, Straus, and Giroux",The Hours,1998
1884,Anita Shreve,0316789844,9780316789844,,Back Bay Books,Resistance: a novel,1997
1885,Diane Ackerman,0679761837,9780679761839,,Vintage Books,A natural history of love,1995
1886,Margaret Atwood,0385490445,9780385490443,en,Anchor,Alias Grace,1997
1887,Daphne Du Maurier,0380725398,9780380725397,,Avon Twilight,Jamaica inn,1999
1888,"Isaacs, Susan",0345316770,9780345316776,,Ballantine,Almost paradise,1985
1889,Charles Frazier,0375700757,9780375700750,en,Vintage,Cold Mountain,1997
1890,Fannie Flagg,0070212570,9780070212572,en,McGraw-Hill Companies,Fried Green Tomatoes At The Whistle-Stop Cafe,1988
1891,Anne Lamott,0385480016,9780385480017,en,Anchor,Bird By Bird: Some Instructions On Writing And Life,1995
1892,Patricia Gaffney,0061098361,9780061098369,,,Circle of three: a novel,
1893,Élisabeth Luc,0061098361,9780061098369,,,Circle of three: a novel,
1894,"Isaacs, Susan",0061093092,9780061093098,,HarperPaperbacks,Lily White: a novel,1997
1895,Jane Heller,0821758950,9780821758953,en,Zebra Books,Cha Cha Cha,1994
1896,Roald Dahl,0679729917,9780679729914,en,Vintage,The Best Of Roald Dahl,1990
1897,Martha Grimes,0451411013,9780451411013,en,Penguin,The Grave Maurice: A Richard Jury Mystery,2003
1898,Douglas J. Preston,0446611239,9780446611237,,Grand Central Publishing,The cabinet of curiosities,2003
1899,Kim Stanley Robinson,0553580078,9780553580075,,Bantam Books,The years of rice and salt,2003
1900,Jack Higgins,0425189414,9780425189412,en,Penguin,Midnight Runner,2003
1901,WILLIAM SAFIRE,0812909372,9780812909371,,Times Books,On language,1980
1902,Leslie Glass,0451410912,9780451410917,,Onyx,A killing gift,2003
1903,F. Scott Fitzgerald,8481301132,9788481301137,,Colleccion Millenium,The great Gatsby,2001
1904,Anita Shreve,0316781266,9780316781268,,Little Brown,The last time they met: a novel,
1905,Mark Twain,0486280616,9780486280615,,Dover Publications,"Adventures of Huckleberry Finn: an authoritative text, backgrounds and sources, criticism",1994
1906,Cathy Cash Spellman,0743405978,9780743405973,,Pocket,Bless the child,2000
1907,Stephen King,0671032658,9780671032654,,Pocket Books,The green mile: the complete serial novel,1999
1908,Grace Slick,0446607835,9780446607834,,Grand Central Publishing,Somebody to love?: a rock-and-roll memoir,1999
1909,Andrea Cagan,0446607835,9780446607834,,Grand Central Publishing,Somebody to love?: a rock-and-roll memoir,1999
1910,Jerry Bledsoe,0451402103,9780451402103,,Onyx,"Bitter blood: a true story of southern family pride, madness, and multiple murder",1989
1911,Jane Sigaloff,0373250223,9780373250226,,Red Dress Ink,Name &amp;amp; address withheld,2002
1912,Marian Keyes,0380817683,9780380817689,,Avon,Rachel's holiday,2001
1913,Stephen Fried,0671701053,9780671701055,,Pocket Books,Thing of beauty: the tragedy of supermodel Gia,1994
1914,Melissa Rossi,0671000381,9780671000387,,Pocket Books,Courtney Love: queen of noise: a most unauthorized biography,1996
1915,Jackie Collins,006101253X,9780061012532,,HarperTorch,Sinners,1997
1916,Drew Barrymore,0671689231,9780671689230,,Pocket Books,Little girl lost,1999
1917,Meg Cabot,0380814021,9780380814022,en,Harper Collins,The Princess Diaries,2001
1918,Carrie Alexander,0373711026,9780373711024,,Harlequin,North Country man,2002
1919,Lori Handeland,0373710992,9780373710997,en,Harlequin Books,The Farmer's Wife,2002
1920,Debra Salonen,0373711107,9780373711109,en,,The Comeback Girl,2003
1921,Deborah Laake,0440217806,9780440217800,,Island Books,Secret ceremonies: a Mormon woman's intimate diary of marriage and beyond,1994
1922,Rebecca Winters,0373711123,9780373711123,en,Harlequin Books,Another Man's Wife,2003
1923,Margaret Way,0373711115,9780373711116,en,Harlequin,Sarah's Baby,2003
1924,Marisa Carroll,0373711131,9780373711130,,Harlequin,Little girl lost,2003
1925,Tony Hillerman,0061098795,9780061098796,,HarperTorch,The wailing wind,2002
1926,Eduardo Duran,0791423549,9780791423547,,State University of New York Press,Native American postcolonial psychology,1995
1927,Dave Eggers,0375725784,9780375725784,,Vintage Books,A heartbreaking work of staggering genius,2001
1928,"Soto, Hernando de",0465016146,9780465016143,,,The mystery of capital: why capitalism triumphs in the West and fails everywhere else,
1929,"Soto, Hernando de",0465016103,9780465016105,,Basic Books,The other path: the economic answer to terrorism,2002
1930,Julie Miller,0373226519,9780373226511,,Harlequin,In the blink of an eye,2002
1931,Oscar Wilde,0380012774,9780380012770,en,Harper Collins,The Importance Of Being Earnest,1976
1932,Bernard Werber,225313922X,9782253139225,,Albin Michel,Les Thanatonautes: roman,1994
1933,Jasper Fforde,0142004030,9780142004036,,Penguin,Lost in a good book: a novel,2004
1934,"Holden, Wendy",0452281784,9780452281783,,Plume,Bad heir day,2001
1935,Sebastian Faulks,0375704558,9780375704550,,Vintage International/Vintage Books,Charlotte Gray: a novel,2000
1936,Sue Margolis,038533656X,9780385336567,,Delta Trade Paperbacks,Apocalipstick,2003
1937,Dora Levy Mossanen,0743230213,9780743230216,,Scribner Paperback Fiction,Harem: a novel,2002
1938,Sheri Holman,0345436911,9780345436917,,Ballantine Books,The dress lodger,2001
1939,"Johnson, Diane",0452284481,9780452284487,,Plume,Le divorce,2003
1940,Jacqueline Susann,0802135196,9780802135193,,Grove Press,Valley of the dolls: a novel,1997
1941,Sara Paretsky,0440217520,9780440217527,,Dell,Tunnel vision,1995
1942,Stephanie Laurens,0373834985,9780373834983,en,Harlequin Books,A Comfortable Wife,2002
1943,Jane Mendelsohn,0679450548,9780679450542,,A.A. Knopf,I was Amelia Earhart: a novel,1996
1944,Madge Swindells,0451135555,9780451135551,,,Summer harvest,
1945,J. R. R. Tolkien,0345339703,9780345339706,,Ballantine Books,The return of the king: being the third part of The lord of the rings,1973
1946,Richard Adams,038039586X,9780380395866,,Mass Market Paperback,Watership Down,1975
1947,Jasper Fforde,0670030643,9780670030644,en,Viking Press,The Eyre Affair: A Novel,2002
1948,John Colapinto,0060929596,9780060929596,,HarperCollins,As nature made him: the boy who was raised as a girl,2001
1949,Ildiko Kurthy,3499232871,9783499232879,,Rowohlt Taschenbuch Verlag,Herzsprung: roman,2003
1950,John McPhee,0374516901,9780374516901,,"Farrar, Straus, Giroux",Basin and range,1982
